row,iso,country,MMR,MMRyear,GDP,GDPyear,CPR,CPRyear,indicator,live_year,live_value,live_country,status,diff
65,GIN,Guinea,494,2023,3904.82395527998,2023,10.9,2018.0,CPR,2018.0,10.9,Guinea,MATCH,0.0
66,GNB,Guinea-Bissau,505,2023,2660.81444655656,2023,21.201503046269,2019.0,CPR,2019.0,21.201503046269,Guinea-Bissau,MATCH,0.0
67,GUY,Guyana,75,2023,49312.3603225444,2023,29.8771395174816,2020.0,CPR,2020.0,29.8771395174816,Guyana,MATCH,0.0
68,HTI,Haiti,328,2023,2939.1237948199,2023,34.3,2017.0,CPR,2017.0,34.3,Haiti,MATCH,0.0
69,HND,Honduras,47,2023,6467.8800352783,2023,69.3736806153714,2019.0,CPR,2019.0,69.3736806153714,Honduras,MATCH,0.0
70,HUN,Hungary,12,2023,40333.2546888118,2023,,,CPR,,,,MISSING_IN_LIVE,
71,ISL,Iceland,3,2023,69268.1221404224,2023,,,CPR,,,,MISSING_IN_LIVE,
72,IND,India,80,2023,8870.55027609345,2023,66.7,2021.0,CPR,2021.0,66.7,India,MATCH,0.0
73,IDN,Indonesia,140,2023,13889.9495012858,2023,52.6,2023.0,CPR,2023.0,52.6,Indonesia,MATCH,0.0
74,IRN,"Iran, Islamic Rep.",16,2023,17044.8173442641,2023,77.4,2010.0,CPR,2010.0,77.4,"Iran, Islamic Rep.",MATCH,0.0
75,IRQ,Iraq,66,2023,13202.3228073856,2023,52.78881501,2018.0,CPR,2018.0,52.78881501,Iraq,MATCH,0.0
76,IRL,Ireland,4,2023,117659.728593716,2023,73.2626619552415,2010.0,CPR,2010.0,73.2626619552415,Ireland,MATCH,0.0
77,ISR,Israel,2,2023,47671.2476926086,2023,,,CPR,,,,MISSING_IN_LIVE,
78,ITA,Italy,6,2023,52842.6288831758,2023,65.1,2013.0,CPR,2013.0,65.1,Italy,MATCH,0.0
79,JAM,Jamaica,130,2023,11398.8120394641,2023,60.6,2022.0,CPR,2022.0,60.6,Jamaica,MATCH,0.0
80,JPN,Japan,3,2023,47387.2172542523,2023,58.3383869011522,2021.0,CPR,2021.0,58.3383869011522,Japan,MATCH,0.0
81,JOR,Jordan,31,2023,10308.7821986337,2023,60.1,2023.0,CPR,2023.0,60.1,Jordan,MATCH,0.0
82,KAZ,Kazakhstan,10,2023,34703.2349286604,2023,52.98,2018.0,CPR,2018.0,52.98,Kazakhstan,MATCH,0.0
83,KEN,Kenya,149,2023,5691.82513474417,2023,62.5,2022.0,CPR,2022.0,62.5,Kenya,MATCH,0.0
84,KOR,"Korea, Rep.",4,2023,54029.3434990785,2023,84.22,2021.0,CPR,2021.0,84.22,"Korea, Rep.",MATCH,0.0
85,KWT,Kuwait,8,2023,47790.1933239144,2023,,,CPR,,,,MISSING_IN_LIVE,
86,KGZ,Kyrgyz Republic,42,2023,6575.77541290499,2023,39.3763412,2018.0,CPR,2018.0,39.3763412,Kyrgyz Republic,MATCH,0.0
87,LAO,Lao PDR,112,2023,8372.15591874407,2023,56.2757987,2017.0,CPR,2017.0,56.2757987,Lao PDR,MATCH,0.0
88,LVA,Latvia,19,2023,37277.7217221317,2023,,,CPR,,,,MISSING_IN_LIVE,
89,LBN,Lebanon,15,2023,11330.2687387422,2023,,,CPR,,,,MISSING_IN_LIVE,
